the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp
,,7/24/2020,3829,negative,1/30/2021 18:20
,,12/28/2020,843,positive,1/30/2021 18:20
,,12/14/2020,6466,negative,1/30/2021 18:20
,,1/10/2021,296,positive,1/30/2021 18:20
,,6/28/2020,70,positive,1/30/2021 18:20
,,1/23/2021,270,positive,1/30/2021 18:20
,,7/7/2020,189,positive,1/30/2021 18:20
,,4/27/2020,520,positive,1/30/2021 18:20
,,9/3/2020,3806,negative,1/30/2021 18:20
,,1/5/2021,6943,negative,1/30/2021 18:20
,,3/27/2020,766,negative,1/30/2021 18:20
,,8/1/2020,64,positive,1/30/2021 18:20
,,4/18/2020,571,negative,1/30/2021 18:20
,,8/11/2020,158,positive,1/30/2021 18:20
,,5/2/2020,224,positive,1/30/2021 18:20
,,8/29/2020,2962,negative,1/30/2021 18:20
,,6/17/2020,3059,negative,1/30/2021 18:20
,,6/2/2020,1771,negative,1/30/2021 18:20
,,10/1/2020,186,positive,1/30/2021 18:20
,,10/21/2020,5891,negative,1/30/2021 18:20
,,6/26/2020,128,positive,1/30/2021 18:20
,,11/17/2020,7936,negative,1/30/2021 18:20
,,8/24/2020,2782,negative,1/30/2021 18:20
,,4/5/2020,252,positive,1/30/2021 18:20
,,12/5/2020,688,positive,1/30/2021 18:20
,,12/10/2020,1133,positive,1/30/2021 18:20
,,4/21/2020,414,positive,1/30/2021 18:20
,,9/9/2020,3637,negative,1/30/2021 18:20
,,10/31/2020,5166,negative,1/30/2021 18:20
,,6/10/2020,113,positive,1/30/2021 18:20
,,10/20/2020,5061,negative,1/30/2021 18:20
,,5/17/2020,1309,negative,1/30/2021 18:20
,,9/15/2020,98,positive,1/30/2021 18:20
,,7/3/2020,2715,negative,1/30/2021 18:20
,,1/16/2021,327,positive,1/30/2021 18:20
,,8/13/2020,3751,negative,1/30/2021 18:20
,,4/16/2020,531,positive,1/30/2021 18:20
,,4/5/2020,760,negative,1/30/2021 18:20
,,8/24/2020,143,positive,1/30/2021 18:20
,,3/11/2020,42,negative,1/30/2021 18:20
,,7/16/2020,155,positive,1/30/2021 18:20
,,1/22/2021,6643,negative,1/30/2021 18:20
,,9/20/2020,2761,negative,1/30/2021 18:20
,,5/12/2020,279,positive,1/30/2021 18:20
,,6/21/2020,80,positive,1/30/2021 18:20
,,11/3/2020,6140,negative,1/30/2021 18:20
,,10/3/2020,108,positive,1/30/2021 18:20
,,5/31/2020,1517,negative,1/30/2021 18:20
,,9/14/2020,104,positive,1/30/2021 18:20
,,5/18/2020,1154,negative,1/30/2021 18:20
,,11/29/2020,546,positive,1/30/2021 18:20
,,4/8/2020,552,positive,1/30/2021 18:20
,,8/21/2020,3631,negative,1/30/2021 18:20
,,4/15/2020,538,positive,1/30/2021 18:20
,,8/14/2020,3999,negative,1/30/2021 18:20
,,12/15/2020,997,positive,1/30/2021 18:20
